Cinéma,Adresse du cinéma,Salle,CNC,Capacité,Équipement,Format de projection,Nom contact,Email,Téléphone
ARVOR,"11, rue de Châtillon - 35000 Rennes",3,335123,104,Numérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
ARVOR,"11, rue de Châtillon - 35000 Rennes",4,335124,104,Numérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
ARVOR,"11, rue de Châtillon - 35000 Rennes",5,335125,146,Numérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Star,"49, rue de la Constitution - 50300 Avranches",1,034182,363,3D35mmNumérique,Numérique 2D,,Olivier Aubry,sarl.cinepinel@free.fr
Star,"49, rue de la Constitution - 50300 Avranches",2,034184,164,3D35mmNumérique,Numérique 2D,,Olivier Aubry,sarl.cinepinel@free.fr
Star,"49, rue de la Constitution - 50300 Avranches",3,034183,90,3D35mmNumérique,Numérique 2D,,Olivier Aubry,sarl.cinepinel@free.fr
Cane (La),"13, bd Carnot - 35160 Montfort-sur-Meu",1,272101,264,3D35mmNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Pont des Arts (Le),7 Place Doumer - 59700 Marcq-en-Baroeul,1,246522,,Numérique,Numérique 2D,Michel Vermoesen (Lille),"m.vermoesen@metropolemajestic.com, m.vermoesen@lepontdesarts-cinema.fr",
Pont des Arts (Le),7 Place Doumer - 59700 Marcq-en-Baroeul,2,246523,,Numérique,Numérique 2D,Michel Vermoesen (Lille),"m.vermoesen@metropolemajestic.com, m.vermoesen@lepontdesarts-cinema.fr",
Pont des Arts (Le),7 Place Doumer - 59700 Marcq-en-Baroeul,3,246524,,Numérique,Numérique 2D,Michel Vermoesen (Lille),"m.vermoesen@metropolemajestic.com, m.vermoesen@lepontdesarts-cinema.fr",
Concorde (Le),"12, rue de l'Abbé Munier - 54120 Baccarat",1,035272,245,35mmNumérique,Numérique 2D,Franck Mazzacavallo,"theatre.raon@wanadoo.fr, fmprog@orange.fr",
UGC Ciné Bassins à Flots,6 quai Virginie Hériot - Bassin à Flot N°2,1,725080,102,Numérique,Numérique 2D,,Barbara Samain,bsamain@ugc.fr
UGC Ciné Bassins à Flots,6 quai Virginie Hériot - Bassin à Flot N°2,2,725081,141,Numérique,Numérique 2D,,Barbara Samain,bsamain@ugc.fr
UGC Ciné Bassins à Flots,6 quai Virginie Hériot - Bassin à Flot N°2,3,725082,133,Numérique,Numérique 2D,,Barbara Samain,bsamain@ugc.fr
UGC Ciné Bassins à Flots,6 quai Virginie Hériot - Bassin à Flot N°2,4,725083,194,Numérique,Numérique 2D,,Barbara Samain,bsamain@ugc.fr
UGC Ciné Bassins à Flots,6 quai Virginie Hériot - Bassin à Flot N°2,5,725084,155,Numérique,Numérique 2D,,Barbara Samain,bsamain@ugc.fr
UGC Ciné Bassins à Flots,6 quai Virginie Hériot - Bassin à Flot N°2,6,725085,321,Numérique,Numérique 2D,,Barbara Samain,bsamain@ugc.fr
UGC Ciné Bassins à Flots,6 quai Virginie Hériot - Bassin à Flot N°2,7,725086,122,Numérique,Numérique 2D,,Barbara Samain,bsamain@ugc.fr
UGC Ciné Bassins à Flots,6 quai Virginie Hériot - Bassin à Flot N°2,8,725087,200,Numérique,Numérique 2D,,Barbara Samain,bsamain@ugc.fr
UGC Ciné Bassins à Flots,6 quai Virginie Hériot - Bassin à Flot N°2,9,725088,122,Numérique,Numérique 2D,,Barbara Samain,bsamain@ugc.fr
UGC Ciné Bassins à Flots,6 quai Virginie Hériot - Bassin à Flot N°2,10,725089,200,Numérique,Numérique 2D,,Barbara Samain,bsamain@ugc.fr
UGC Ciné Bassins à Flots,6 quai Virginie Hériot - Bassin à Flot N°2,12,725090,193,Numérique,Numérique 2D,,Barbara Samain,bsamain@ugc.fr
UGC Ciné Bassins à Flots,6 quai Virginie Hériot - Bassin à Flot N°2,13,725091,155,Numérique,Numérique 2D,,Barbara Samain,bsamain@ugc.fr
UGC Ciné Bassins à Flots,6 quai Virginie Hériot - Bassin à Flot N°2,14,725092,359,Numérique,Numérique 2D,,Barbara Samain,bsamain@ugc.fr
UGC Toulouse Montaudran,38 avenue Bernard Maris - 31400 Toulouse,11,430459,345,Numérique,Numérique 2D,,Barbara Samain,bsamain@ugc.fr
UGC Toulouse Montaudran,38 avenue Bernard Maris - 31400 Toulouse,12,430460,227,Numérique,Numérique 2D,,Barbara Samain,bsamain@ugc.fr
UGC Toulouse Montaudran,38 avenue Bernard Maris - 31400 Toulouse,13,430461,159,Numérique,Numérique 2D,,Barbara Samain,bsamain@ugc.fr
UGC Toulouse Montaudran,38 avenue Bernard Maris - 31400 Toulouse,21,430462,195,Numérique,Numérique 2D,,Barbara Samain,bsamain@ugc.fr
UGC Toulouse Montaudran,38 avenue Bernard Maris - 31400 Toulouse,22,430463,118,Numérique,Numérique 2D,,Barbara Samain,bsamain@ugc.fr
UGC Toulouse Montaudran,38 avenue Bernard Maris - 31400 Toulouse,23,430464,138,Numérique,Numérique 2D,,Barbara Samain,bsamain@ugc.fr
UGC Toulouse Montaudran,38 avenue Bernard Maris - 31400 Toulouse,24,430465,148,Numérique,Numérique 2D,,Barbara Samain,bsamain@ugc.fr
Maintenon (Le),rue Alfred Rolland - BP 20 - 65421 Bagnères-de-Bigorre,1,035861,132,35mmNumérique,Numérique 2D,,Boule Jacques,jacques.boule@parvis.net
Rex,rue Lassus Nestier - 31110 Bagnères-de-Luchon,1,035872,195,3D35mmNumérique,Numérique 2D,Thomas MIQUEL,"thomas@cineregent.com, cineregent@cineregent.com",
Rex,rue Lassus Nestier - 31110 Bagnères-de-Luchon,2,035873,183,35mmNumérique,Numérique 2D,Thomas MIQUEL,"thomas@cineregent.com, cineregent@cineregent.com",
My Ciné,Route Nationale - 3 Lieu dit Les Masures,1,114042,220,Numérique,Numérique 2D,Jonathan Lelièvre,jonathan@noecinemas.com,
My Ciné,Route Nationale - 3 Lieu dit Les Masures,2,114043,112,Numérique,Numérique 2D,Jonathan Lelièvre,jonathan@noecinemas.com,
My Ciné,Route Nationale - 3 Lieu dit Les Masures,3,114044,43,Numérique,Numérique 2D,Jonathan Lelièvre,jonathan@noecinemas.com,
Théatre Victor Hugo,"14, av. Victor Hugo - 92220 Bagneux",1,035953,418,3D35mmNumérique,Numérique 2D,Saint Jean Basker,bagneuxcinekdm@gmail.com,
Cin'Hoche,"6, rue Hoche - 93170 Bagnolet",1,036013,218,35mmNumérique,Numérique 2D,Frank Sescousse,frank.sescousse@est-ensemble.fr,
Cin'Hoche,"6, rue Hoche - 93170 Bagnolet",2,036032,70,35mmNumérique,Numérique 2D,Frank Sescousse,frank.sescousse@est-ensemble.fr,
Salamandre (La),SEW – Manufacture des tabacs - 39ter-41 Quai du Léon,1,278242,145,Numérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Salamandre (La),SEW – Manufacture des tabacs - 39ter-41 Quai du Léon,2,278243,98,Numérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Salamandre (La),SEW – Manufacture des tabacs - 39ter-41 Quai du Léon,3,278244,44,Numérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Casino du Lac,"6, av. Robert Cousin - 61140 Bagnoles-de-l'Orne",1,036071,346,3D35mmNumérique,Numérique 2D,Jerome Bidard,j.bidard@joa.fr,
Toile Filante (La),"Espace Germinal - 2, avenue du Mesnil",1,725200,,Numérique,Numérique 2D,Programmation,LARA CHAPUIS,"cinema-itinerant@roissypaysdefrance.fr, info.cinema@roissypaysdefrance.fr"
Tournée Cinéplan,533 Chemin de la Promenade - 30260 Quissac,1,036282,200,3D35mmNumérique,Numérique 2D,,j.marin5jpm@gmail.com,
Tournée Cinéplan,533 Chemin de la Promenade - 30260 Quissac,2,,,3D35mmNumérique,,,j.marin5jpm@gmail.com,
Tournée Cinéplan,533 Chemin de la Promenade - 30260 Quissac,3,,,35mmNumérique,,,j.marin5jpm@gmail.com,
Tournée Cinéplan,533 Chemin de la Promenade - 30260 Quissac,4,,,Numérique,,,j.marin5jpm@gmail.com,
Tournée Cinéplan,533 Chemin de la Promenade - 30260 Quissac,5,,,Numérique,,,j.marin5jpm@gmail.com,
Tournée Cinéplan,533 Chemin de la Promenade - 30260 Quissac,6,,,Numérique,,,j.marin5jpm@gmail.com,
Tournée Cinéplan,533 Chemin de la Promenade - 30260 Quissac,235262,,,Numérique,,,j.marin5jpm@gmail.com,
Tournée Cinéplan,533 Chemin de la Promenade - 30260 Quissac,240881,,,Numérique,,,j.marin5jpm@gmail.com,
Tournée Cinéplan,533 Chemin de la Promenade - 30260 Quissac,243828,,,Numérique,,,j.marin5jpm@gmail.com,
Tournée Cinéplan,533 Chemin de la Promenade - 30260 Quissac,243829,,,35mmNumérique,,,j.marin5jpm@gmail.com,
Tournée Cinéplan,533 Chemin de la Promenade - 30260 Quissac,262845,,,Numérique,,,j.marin5jpm@gmail.com,
Tournée Cinéplan,533 Chemin de la Promenade - 30260 Quissac,272800,,,Numérique,,,j.marin5jpm@gmail.com,
Tournée Cinéplan,533 Chemin de la Promenade - 30260 Quissac,340833,,,Numérique,,,j.marin5jpm@gmail.com,
Tournée Cinéplan,533 Chemin de la Promenade - 30260 Quissac,395955,,,Numérique,,,j.marin5jpm@gmail.com,
Cineum Cannes,212 Avenue Francis Tonner - 06150 Cannes,1,723880,501,Numérique,"IMAX 2D, Numérique 2D",Lydie Ratajczyk,lydie@mc4-distribution.fr,
Cineum Cannes,212 Avenue Francis Tonner - 06150 Cannes,2,723881,375,Numérique,Numérique 2D,Lydie Ratajczyk,lydie@mc4-distribution.fr,
Cineum Cannes,212 Avenue Francis Tonner - 06150 Cannes,3,723882,252,Numérique,Numérique 2D,Lydie Ratajczyk,lydie@mc4-distribution.fr,
Cineum Cannes,212 Avenue Francis Tonner - 06150 Cannes,4,723883,252,Numérique,Numérique 2D,Lydie Ratajczyk,lydie@mc4-distribution.fr,
Cineum Cannes,212 Avenue Francis Tonner - 06150 Cannes,5,723884,152,Numérique,Numérique 2D,Lydie Ratajczyk,lydie@mc4-distribution.fr,
Cineum Cannes,212 Avenue Francis Tonner - 06150 Cannes,6,723885,152,Numérique,Numérique 2D,Lydie Ratajczyk,lydie@mc4-distribution.fr,
Cineum Cannes,212 Avenue Francis Tonner - 06150 Cannes,7,723886,134,Numérique,Numérique 2D,Lydie Ratajczyk,lydie@mc4-distribution.fr,
Cineum Cannes,212 Avenue Francis Tonner - 06150 Cannes,8,723887,138,Numérique,Numérique 2D,Lydie Ratajczyk,lydie@mc4-distribution.fr,
Cineum Cannes,212 Avenue Francis Tonner - 06150 Cannes,9,723888,129,Numérique,,Lydie Ratajczyk,lydie@mc4-distribution.fr,
Cineum Cannes,212 Avenue Francis Tonner - 06150 Cannes,10,723889,73,Numérique,Numérique 2D,Lydie Ratajczyk,lydie@mc4-distribution.fr,
Cineum Cannes,212 Avenue Francis Tonner - 06150 Cannes,11,723890,73,Numérique,Numérique 2D,Lydie Ratajczyk,lydie@mc4-distribution.fr,
Cineum Cannes,212 Avenue Francis Tonner - 06150 Cannes,12,723891,49,Numérique,Numérique 2D,Lydie Ratajczyk,lydie@mc4-distribution.fr,
Flandria,"45, rue des Viviers - 59270 Bailleul",1,036352,145,3D35mmNumérique,Numérique 2D,Céline HUGUES,chugues@ville-bailleul.fr,
Scénario (Le),"3, rue du Chêne Vert - 35470 Bain-de-Bretagne",1,036602,219,3D35mmNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Scénario (Le),"3, rue du Chêne Vert - 35470 Bain-de-Bretagne",2,036603,75,3D35mmNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Cinécure,rue Maurice Clavel - impasse du Parc - 34540 Balaruc-les-Bains,1,037021,139,35mmNumérique,,Jonathan ISABELLE,j.isabelle@cine-movida.com,
Cinéma,Place de l'hôtel de ville - 12160 Baraqueville,1,038501,164,3D35mmNumérique,Numérique 2D,Nadia Barteau,sudcinenadia@orange.fr,
Club (le),"32, bd de Chanzy - 16300 Barbezieux-Saint-Hilaire",1,038772,140,3DNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Club (le),"32, bd de Chanzy - 16300 Barbezieux-Saint-Hilaire",2,038774,99,35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Ubaye (L'),"7, rue Henri Mercier - 04400 Barcelonnette",1,038931,150,3D35mmNumérique,Numérique 2D,Assistante de direction - programmation,Vanessa Menjeaud,vanessa.menjeaud@cinvalley.fr
Ubaye (L'),"7, rue Henri Mercier - 04400 Barcelonnette",2,038933,110,35mmNumérique,Numérique 2D,Assistante de direction - programmation,Vanessa Menjeaud,vanessa.menjeaud@cinvalley.fr
Ubaye (L'),"7, rue Henri Mercier - 04400 Barcelonnette",3,,,Numérique,,Assistante de direction - programmation,Vanessa Menjeaud,vanessa.menjeaud@cinvalley.fr
Refuge (Le),65340 Barèges - Téléphone: 05 62 90 60 31,1,039131,136,35mmNumérique,Numérique 2D,,Boule Jacques,jacques.boule@parvis.net
Trintignant (Le),l'Esplanade - 30430 Barjac,1,039428,90,35mmNumérique,Numérique 2D,Cyrille Villermaux,cyriloo07@yahoo.fr,
Kiosque (Le),5 boulevard Adrien Morin - 79100 Thouars,1,427365,259,Numérique,Numérique 2D,Sylvain Clochard,sylvain@leconcorde.fr,
Kiosque (Le),5 boulevard Adrien Morin - 79100 Thouars,2,427366,119,Numérique,Numérique 2D,Sylvain Clochard,sylvain@leconcorde.fr,
Kiosque (Le),5 boulevard Adrien Morin - 79100 Thouars,3,427367,79,Numérique,Numérique 2D,Sylvain Clochard,sylvain@leconcorde.fr,
Kiosque (Le),5 boulevard Adrien Morin - 79100 Thouars,4,427368,73,Numérique,Numérique 2D,Sylvain Clochard,sylvain@leconcorde.fr,
Odéon (L'),rue Barri - 83670 Barjols,1,039442,131,3D35mmNumérique,Numérique 2D,Alain Foresto,alain.cinebleu@gmail.com,programmation.cinebleu@yahoo.fr
Cinéma de la plage,av. de la République - 50270 Barneville-Carteret,1,039662,270,3D35mmNumérique,Numérique 2D,Olivier Défossé,olivierdefosse@orange.fr,
Artplexe Canebière,125 La Canebière - 13001 Marseille,1,723920,126,Numérique,Numérique 2D,Programmation Cap'Ciné,Christelle Brequel,christelle.brequel@cap-cine.fr
Artplexe Canebière,125 La Canebière - 13001 Marseille,2,723921,105,Numérique,Numérique 2D,Programmation Cap'Ciné,Christelle Brequel,christelle.brequel@cap-cine.fr
Artplexe Canebière,125 La Canebière - 13001 Marseille,3,723922,115,Numérique,Numérique 2D,Programmation Cap'Ciné,Christelle Brequel,christelle.brequel@cap-cine.fr
Artplexe Canebière,125 La Canebière - 13001 Marseille,4,723923,126,Numérique,Numérique 2D,Programmation Cap'Ciné,Christelle Brequel,christelle.brequel@cap-cine.fr
Artplexe Canebière,125 La Canebière - 13001 Marseille,5,723924,105,Numérique,Numérique 2D,Programmation Cap'Ciné,Christelle Brequel,christelle.brequel@cap-cine.fr
Artplexe Canebière,125 La Canebière - 13001 Marseille,6,723925,115,Numérique,Numérique 2D,Programmation Cap'Ciné,Christelle Brequel,christelle.brequel@cap-cine.fr
Artplexe Canebière,125 La Canebière - 13001 Marseille,7,723926,276,Numérique,Numérique 2D,Programmation Cap'Ciné,Christelle Brequel,christelle.brequel@cap-cine.fr
Cascade (La),35 cours du 4 septembre. - 13500 Martigues,1,720261,200,Numérique,Numérique 2D,Programmation,Catherine MALLET,cmallet@cinemartigues.fr
Cascade (La),35 cours du 4 septembre. - 13500 Martigues,2,720262,70,Numérique,Numérique 2D,Programmation,Catherine MALLET,cmallet@cinemartigues.fr
Cascade (La),35 cours du 4 septembre. - 13500 Martigues,3,720263,49,Numérique,Numérique 2D,Programmation,Catherine MALLET,cmallet@cinemartigues.fr
Stella Ciné,"9, rue du Presbytère - 49150 Baugé",1,042011,203,35mmNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Gulf Stream,"52, av. du Général de Gaulle - 44500 La Baule-Escoublac",1,042075,329,3D35mmNumérique,Numérique 2D,Miguel MOLIÈRE,cine.gulfstream@orange.fr,
Gulf Stream,"52, av. du Général de Gaulle - 44500 La Baule-Escoublac",2,042082,139,3D35mmNumérique,Numérique 2D,Miguel MOLIÈRE,cine.gulfstream@orange.fr,
Gulf Stream,"52, av. du Général de Gaulle - 44500 La Baule-Escoublac",3,042083,100,3D35mmNumérique,Numérique 2D,Miguel MOLIÈRE,cine.gulfstream@orange.fr,
Gulf Stream,"52, av. du Général de Gaulle - 44500 La Baule-Escoublac",4,042084,95,3D35mmNumérique,Numérique 2D,Miguel MOLIÈRE,cine.gulfstream@orange.fr,
Gulf Stream,"52, av. du Général de Gaulle - 44500 La Baule-Escoublac",5,042085,141,3D35mmNumérique,Numérique 2D,Miguel MOLIÈRE,cine.gulfstream@orange.fr,
Méliès (Le),"12, rue Genas Duhomme - 14400 Bayeux",1,042621,185,35mmNumérique,Numérique 2D,Olivier AUBRY,cineouest123@orange.fr,
Méliès (Le),"12, rue Genas Duhomme - 14400 Bayeux",2,042622,126,35mmNumérique,Numérique 2D,Olivier AUBRY,cineouest123@orange.fr,
Méliès (Le),"12, rue Genas Duhomme - 14400 Bayeux",3,042623,69,35mmNumérique,Numérique 2D,Olivier AUBRY,cineouest123@orange.fr,
CGR La Mézière,Zone de Millet - CAP MALO - Bordure D 27 et RN 137 - 35520 La Mézière,1,261730,644,3DNumériqueAtmos,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR La Mézière,Zone de Millet - CAP MALO - Bordure D 27 et RN 137 - 35520 La Mézière,2,261731,171,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR La Mézière,Zone de Millet - CAP MALO - Bordure D 27 et RN 137 - 35520 La Mézière,3,261732,171,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR La Mézière,Zone de Millet - CAP MALO - Bordure D 27 et RN 137 - 35520 La Mézière,4,261733,111,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR La Mézière,Zone de Millet - CAP MALO - Bordure D 27 et RN 137 - 35520 La Mézière,5,261734,111,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR La Mézière,Zone de Millet - CAP MALO - Bordure D 27 et RN 137 - 35520 La Mézière,6,261735,82,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR La Mézière,Zone de Millet - CAP MALO - Bordure D 27 et RN 137 - 35520 La Mézière,7,261736,191,3DNumériqueIce,ICE 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR La Mézière,Zone de Millet - CAP MALO - Bordure D 27 et RN 137 - 35520 La Mézière,8,261737,179,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR La Mézière,Zone de Millet - CAP MALO - Bordure D 27 et RN 137 - 35520 La Mézière,9,261738,170,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR La Mézière,Zone de Millet - CAP MALO - Bordure D 27 et RN 137 - 35520 La Mézière,10,261739,160,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR La Mézière,Zone de Millet - CAP MALO - Bordure D 27 et RN 137 - 35520 La Mézière,11,261740,129,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR La Mézière,Zone de Millet - CAP MALO - Bordure D 27 et RN 137 - 35520 La Mézière,12,261741,356,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
Grand Central,10 allée du Rouergue - 31770 Colomiers,1,706900,273,Numérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Grand Central,10 allée du Rouergue - 31770 Colomiers,2,706901,174,Numérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Grand Central,10 allée du Rouergue - 31770 Colomiers,3,706902,82,Numérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Grand Central,10 allée du Rouergue - 31770 Colomiers,4,706903,151,Numérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Grand Central,10 allée du Rouergue - 31770 Colomiers,5,706904,82,Numérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Vog,"10, rue du Palais de Justice - 33430 Bazas",1,042841,154,3D35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Abc Le Dunois,"11, rue de la Maille d'Or - 45190 Beaugency",1,044131,200,35mmNumérique,Numérique 2D,Programmateur,Olivier Doradoux,programmation.circuitcvl@gmail.com
Tournée Beaulieu,306 avenue Plan Bernard - 07260 Joyeuse,1,044239,0,35mmNumérique,,Cyrille Villermaux,cyriloo07@yahoo.fr,
Megarama Nice,21 rue Jules et Aline Avigdor - 06000 Nice,1,725120,354,Numérique,Numérique 2D,,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com"
Megarama Nice,21 rue Jules et Aline Avigdor - 06000 Nice,2,725121,271,Numérique,Numérique 2D,,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com"
Megarama Nice,21 rue Jules et Aline Avigdor - 06000 Nice,3,725122,93,Numérique,Numérique 2D,,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com"
Megarama Nice,21 rue Jules et Aline Avigdor - 06000 Nice,4,725123,131,Numérique,Numérique 2D,,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com"
